TrackedStatID,StatType,TargetID,VitalsCategories,Level,RequireGroup,WeaponMasteryIds,OpenWorldOnly,POITags,GameMode,LootTags,IsKillingBlow
KillLevel60VarangianKnights,Kill,,Varangian,60,,,false,,,,false
KillWolves,Kill,,Wolf,0,,,false,,,,false
KillPlayer,Kill,,Player,0,,,false,,,,false
KillFlamePoweredVarangians,Kill,,"Varangian,Forged",0,,,false,,,,false
KillPlayerInOpenWorld,Kill,,Player,0,,,true,,,,false
KillLost,Kill,,Lost,0,,,false,,,,false
KillAngryEarth,Kill,,AngryEarth,0,,,false,,,,false
KillAncient,Kill,,Ancient,0,,,false,,,,false
KillCorrupted,Kill,,Corrupted,0,,,false,,,,false
KillBeast,Kill,,Beast,0,,,false,,,,false
KillNamedVarangianKnight,Kill,,Varangian,0,,,false,,,"Varangian,Named",false
KillWispyWasps,Kill,,Wispy_Wasp_Swarm,0,,,false,,,,false
KillZygormat,Kill,Spriggan_Forest,,0,,,false,,,,false
KillTheSirenQueen,Kill,Undead_Siren,,0,,,false,,,,false
KillAvarice,Kill,Swamp_Dryad_Beast_Named_ELITE_05WC10,,0,,,false,,,,false
KillSirOlga,Kill,Evil_Knight_Heavy_Named_14AC13,,0,,,false,,,,false
KillCorruptedRabbit,Kill,,Rabbit,0,,,false,,,,false
KillWithOneHanded,Kill,,,0,,"HatchetAbilityTable,SwordAbilityTable,RapierAbilityTable,DaggerAbilityTable",false,,,,false
KillWithTwoHanded,Kill,,,0,,"WarHammerAbilityTable,GreatAxeAbilityTable,SpearAbilityTable,GreatSwordAbilityTable",false,,,,false
KillWithRanged,Kill,,,0,,"BowAbilityTable,MusketAbilityTable,BlunderbussAbilityTable",false,,,,false
KillWithMagic,Kill,,,0,,"FireMagicAbilityTable,LifeMagicAbilityTable,IceMagicAbilityTable,VoidGauntletAbilityTable",false,,,,false
KillingBlowInOutpostRush,Kill,,,0,,,false,,OutpostRush,,true
KillPOIMyrkgard,Kill,,,60,,,false,"myrkgardwest,myrkgardsouth,myrkgardeast,myrkgardnorth,myrkgardchurch",,,false
KillPOIImperialPalace,Kill,,,60,,,false,empressfortress_20201,,,false
KillPOIMalevolence,Kill,,,60,,,false,crater_malevolence_50325,,,false
KillPOIEternalPool,Kill,,,60,,,false,AE_Elite_50119,,,false
KillPOIBedsOfTaBitJet,Kill,,,60,,,false,scorpionnest_30305,,,false
KillNamed,Kill,,,0,,,false,,,Named,false
KillElite,Kill,,,0,,,false,,,Elite,false
